Run,Accuracy,Fitness,Selected_Genes,Sensitivity,Specificity,Time,Stability
1.0,0.8846153846153846,0.0010770542566081766,120.0,0.8166666666666668,0.9571428571428571,287.4727101325989,
2.0,0.8846153846153846,0.0010770542566081766,120.0,0.8651515151515152,0.9266666666666667,287.3217055797577,
3.0,1.0,0.0010770542566081766,120.0,1.0,1.0,381.2327365875244,
4.0,0.8846153846153846,0.0010770542566081766,120.0,0.9136363636363637,0.9,287.4240915775299,
5.0,0.9615384615384616,0.0010770542566081766,120.0,0.9333333333333332,0.9833333333333332,286.8993651866913,
6.0,0.8461538461538461,0.0010770542566081766,120.0,0.7833333333333333,0.9466666666666667,380.6607766151428,
7.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,288.32719922065735,
8.0,1.0,0.0010770542566081766,120.0,1.0,1.0,286.84331035614014,
9.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,287.2328097820282,
10.0,0.9615384615384616,0.0010770542566081766,120.0,0.9333333333333332,0.9833333333333332,382.2756426334381,
Mean,0.926923076923077,0.0010770542566081766,120.0,0.902878787878788,0.9637619047619046,315.56903476715087,0.008450988851227855
Std,0.05573606440842094,0.0,0.0,0.07530656997689869,0.03265480988640966,45.4239993653196,
