Run,Accuracy,Fitness,Selected_Genes,Sensitivity,Specificity,Time,Stability
1.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,340.632408618927,
2.0,0.8461538461538461,0.0010770542566081766,120.0,0.7833333333333333,0.9466666666666667,350.03799629211426,
3.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,324.4410078525543,
4.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,324.16013407707214,
5.0,0.9230769230769231,0.0010770542566081766,120.0,0.9,0.9692307692307693,360.72691893577576,
6.0,0.8461538461538461,0.0010770542566081766,120.0,0.8151515151515152,0.9038461538461539,341.0459945201874,
7.0,0.9615384615384616,0.0010770542566081766,120.0,0.9333333333333332,0.9833333333333332,304.5739550590515,
8.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,304.30960750579834,
9.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,350.61255955696106,
10.0,0.8076923076923077,0.0010770542566081766,120.0,0.7333333333333333,0.7375,332.48763275146484,
11.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,329.65811944007874,
12.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,310.8909857273102,
13.0,0.8076923076923077,0.0010770542566081766,120.0,0.7651515151515151,0.9028571428571428,348.8491907119751,
14.0,0.8461538461538461,0.0010770542566081766,120.0,0.8954545454545455,0.8477777777777777,369.39917516708374,
15.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,321.4681587219238,
16.0,0.8461538461538461,0.0010770542566081766,120.0,0.8151515151515152,0.8871794871794872,320.18403244018555,
17.0,0.8076923076923077,0.0010770542566081766,120.0,0.7333333333333333,0.9375,349.8581621646881,
18.0,0.8461538461538461,0.0010770542566081766,120.0,0.8151515151515152,0.9038461538461539,370.49421739578247,
19.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,360.5381660461426,
20.0,1.0,0.0010770542566081766,120.0,1.0,1.0,359.6345818042755,
21.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,327.7829780578613,
22.0,0.9230769230769231,0.0010770542566081766,120.0,0.8666666666666668,0.9692307692307693,381.94286251068115,
23.0,0.8461538461538461,0.0010770542566081766,120.0,0.8151515151515152,0.9138461538461538,336.39076018333435,
24.0,0.9230769230769231,0.0010770542566081766,120.0,0.9,0.9692307692307693,334.5115032196045,
25.0,0.9615384615384616,0.0010770542566081766,120.0,0.9333333333333332,0.9833333333333332,343.34634947776794,
26.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,305.088276386261,
27.0,0.8461538461538461,0.0010770542566081766,120.0,0.8636363636363636,0.8836363636363636,322.7542185783386,
28.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,304.14857053756714,
29.0,0.8461538461538461,0.0010770542566081766,120.0,0.8469696969696969,0.8736363636363637,301.2685670852661,
30.0,0.9230769230769231,0.0010770542566081766,120.0,0.9,0.9692307692307693,322.2538685798645,
Mean,0.8961538461538462,0.0010770542566081766,120.0,0.8655050505050503,0.9406231731231732,335.11636531352997,0.0034736463707150497
Std,0.05358976474221067,0.0,0.0,0.06444439394483356,0.05477664604711159,22.014156740397986,
