Run,Accuracy,Fitness,Selected_Genes,Sensitivity,Specificity,Time,Stability
1.0,0.8846153846153846,0.0010770542566081766,120.0,0.8651515151515152,0.9,941.6630597114563,
2.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,1179.5396883487701,
3.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,1182.1069614887238,
4.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,942.2359097003937,
5.0,0.8846153846153846,0.0010770542566081766,120.0,0.8969696969696969,0.8733333333333334,935.5552968978882,
6.0,0.9615384615384616,0.0010770542566081766,120.0,0.9333333333333332,0.9833333333333332,941.0139689445496,
7.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,941.5630424022675,
8.0,0.6923076923076923,0.0010770542566081766,120.0,0.6787878787878788,0.7764102564102564,940.7229192256927,
9.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,939.6995458602905,
10.0,0.8461538461538461,0.0010770542566081766,120.0,0.7833333333333333,0.9466666666666667,942.7583982944489,
11.0,0.8076923076923077,0.0010770542566081766,120.0,0.796969696969697,0.8699999999999999,948.1716296672821,
12.0,0.8461538461538461,0.0010770542566081766,120.0,0.8151515151515152,0.8871794871794872,950.1380760669708,
13.0,0.8076923076923077,0.0010770542566081766,120.0,0.7651515151515151,0.8928571428571429,1189.7450637817383,
14.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,1425.6697449684143,
15.0,0.8846153846153846,0.0010770542566081766,120.0,0.8969696969696969,0.9,950.5184609889984,
16.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,1190.5398440361023,
17.0,0.9230769230769231,0.0010770542566081766,120.0,0.9151515151515153,0.9151515151515153,950.4421801567078,
18.0,0.8076923076923077,0.0010770542566081766,120.0,0.7651515151515151,0.8761904761904763,952.5311183929443,
19.0,0.7307692307692307,0.0010770542566081766,120.0,0.7287878787878788,0.7933333333333333,945.8692178726196,
20.0,0.8846153846153846,0.0010770542566081766,120.0,0.8818181818181818,0.9266666666666667,947.9938473701477,
21.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,953.9817519187927,
22.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,1144.455555677414,
23.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,959.06605052948,
24.0,0.8461538461538461,0.0010770542566081766,120.0,0.8151515151515152,0.9038461538461539,957.820886850357,
25.0,0.9230769230769231,0.0010770542566081766,120.0,0.9318181818181819,0.9318181818181819,959.9620823860168,
26.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,906.095771074295,
27.0,0.9230769230769231,0.0010770542566081766,120.0,0.8833333333333332,0.9692307692307693,907.596536397934,
28.0,0.8846153846153846,0.0010770542566081766,120.0,0.8333333333333333,0.9571428571428571,907.6624248027802,
29.0,0.7307692307692307,0.0010770542566081766,120.0,0.6166666666666666,0.9222222222222222,1080.5313186645508,
30.0,0.9615384615384616,0.0010770542566081766,120.0,0.95,0.9833333333333332,845.4663441181183,
Mean,0.8769230769230768,0.0010770542566081766,120.0,0.8473232323232323,0.9284040774040773,998.7038898865381,0.004673360837988575
Std,0.07026925218393383,0.0,0.0,0.08136089101935232,0.053487663817765874,124.47411987574148,
