Run,Accuracy,Fitness,Selected_Genes,Sensitivity,Specificity,Time,Stability
1.0,0.7647058823529411,0.039263966967712186,120.0,0.7142857142857143,0.8571428571428572,275.08291602134705,
2.0,0.8235294117647058,0.022810975514720788,120.0,0.7857142857142857,0.8846153846153846,215.7553699016571,
3.0,0.8235294117647058,0.02131524901899422,120.0,0.7857142857142857,0.8846153846153846,215.4476203918457,
4.0,0.9117647058823529,0.02131524901899422,120.0,0.8928571428571428,0.9347826086956521,214.03342723846436,
5.0,0.7941176470588235,0.022810975514720788,120.0,0.75,0.8703703703703703,214.56316304206848,
6.0,0.9411764705882353,0.02131524901899422,120.0,0.9285714285714286,0.9545454545454546,215.69389629364014,
7.0,0.8823529411764706,0.02131524901899422,120.0,0.8571428571428572,0.9166666666666667,213.77059197425842,
8.0,0.7058823529411765,0.039263966967712186,120.0,0.6428571428571428,0.8333333333333333,215.69728255271912,
9.0,0.7058823529411765,0.02131524901899422,120.0,0.6428571428571428,0.8333333333333333,275.4142954349518,
10.0,0.8529411764705882,0.02131524901899422,120.0,0.8214285714285714,0.9,274.61686658859253,
Mean,0.8205882352941176,0.025204137907883128,120.0,0.7821428571428571,0.8869405393318436,233.00754294395446,0.012734360968140642
Std,0.08018864724187656,0.007435297047074118,0.0,0.09737192879370732,0.040598618536174406,29.012782278470468,
