Iteration,Mean_Fitness
1,0.028943454147199364
2,0.028943454147199364
3,0.028943454147199364
4,0.028943454147199364
5,0.028943454147199364
6,0.028943454147199364
7,0.028943454147199364
8,0.028943454147199364
9,0.028943454147199364
10,0.028943454147199364
11,0.025204137907883128
12,0.025204137907883128
13,0.025204137907883128
14,0.025204137907883128
15,0.025204137907883128
16,0.025204137907883128
17,0.025204137907883128
18,0.025204137907883128
19,0.025204137907883128
20,0.025204137907883128
21,0.025204137907883128
22,0.025204137907883128
23,0.025204137907883128
24,0.025204137907883128
25,0.025204137907883128
26,0.025204137907883128
27,0.025204137907883128
28,0.025204137907883128
29,0.025204137907883128
30,0.025204137907883128
31,0.025204137907883128
32,0.025204137907883128
33,0.025204137907883128
34,0.025204137907883128
35,0.025204137907883128
36,0.025204137907883128
37,0.025204137907883128
38,0.025204137907883128
39,0.025204137907883128
40,0.025204137907883128
41,0.025204137907883128
42,0.025204137907883128
43,0.025204137907883128
44,0.025204137907883128
45,0.025204137907883128
46,0.025204137907883128
47,0.025204137907883128
48,0.025204137907883128
49,0.025204137907883128
50,0.025204137907883128
51,0.025204137907883128
52,0.025204137907883128
53,0.025204137907883128
54,0.025204137907883128
55,0.025204137907883128
56,0.025204137907883128
57,0.025204137907883128
58,0.025204137907883128
59,0.025204137907883128
60,0.025204137907883128
61,0.025204137907883128
62,0.025204137907883128
63,0.025204137907883128
64,0.025204137907883128
65,0.025204137907883128
66,0.025204137907883128
67,0.025204137907883128
68,0.025204137907883128
69,0.025204137907883128
70,0.025204137907883128
71,0.025204137907883128
72,0.025204137907883128
73,0.025204137907883128
74,0.025204137907883128
75,0.025204137907883128
76,0.025204137907883128
77,0.025204137907883128
78,0.025204137907883128
79,0.025204137907883128
80,0.025204137907883128
81,0.025204137907883128
82,0.025204137907883128
83,0.025204137907883128
84,0.025204137907883128
85,0.025204137907883128
86,0.025204137907883128
87,0.025204137907883128
88,0.025204137907883128
89,0.025204137907883128
90,0.025204137907883128
91,0.025204137907883128
92,0.025204137907883128
93,0.025204137907883128
94,0.025204137907883128
95,0.025204137907883128
96,0.025204137907883128
97,0.025204137907883128
98,0.025204137907883128
99,0.025204137907883128
100,0.025204137907883128
