Run,Accuracy,Fitness,Selected_Genes,Sensitivity,Specificity,Time,Stability
1.0,0.7647058823529411,0.003366531070276336,120.0,0.7142857142857143,0.8571428571428572,269.87902212142944,
2.0,0.6470588235294118,0.02131524901899422,120.0,0.5714285714285714,0.8125,171.42905259132385,
3.0,0.8235294117647058,0.003366531070276336,120.0,0.7857142857142857,0.8846153846153846,225.464031457901,
4.0,0.6764705882352942,0.02131524901899422,120.0,0.6071428571428571,0.8225806451612903,171.3211431503296,
5.0,0.7647058823529411,0.02131524901899422,120.0,0.7142857142857143,0.8571428571428572,226.0272753238678,
6.0,0.7941176470588235,0.02131524901899422,120.0,0.75,0.8703703703703703,170.72274589538574,
7.0,0.7941176470588235,0.003366531070276336,120.0,0.75,0.8703703703703703,171.52559542655945,
8.0,0.8823529411764706,0.02131524901899422,120.0,0.8571428571428572,0.9166666666666667,226.00981998443604,
9.0,0.7647058823529411,0.039263966967712186,120.0,0.7142857142857143,0.8571428571428572,171.97584104537964,
10.0,0.7352941176470589,0.02131524901899422,120.0,0.6785714285714286,0.8448275862068966,225.79038667678833,
Mean,0.7647058823529411,0.017725505429250655,120.0,0.7142857142857143,0.8593359594819552,203.0144913673401,0.02388300775654902
Std,0.06792356108113241,0.011351765959578774,0.0,0.08247860988423227,0.02970008976564901,35.82639555304494,
