Run,Accuracy,Fitness,Selected_Genes,Sensitivity,Specificity,Time,Stability
1.0,0.8529411764705882,0.003366531070276336,120.0,0.8214285714285714,0.9,314.9175868034363,
2.0,0.8823529411764706,0.003366531070276336,120.0,0.8571428571428572,0.9166666666666667,451.4933443069458,
3.0,0.7647058823529411,0.003366531070276336,120.0,0.7142857142857143,0.8571428571428572,332.8051109313965,
4.0,0.7352941176470589,0.003366531070276336,120.0,0.6785714285714286,0.8448275862068966,341.88522243499756,
5.0,0.7941176470588235,0.003366531070276336,120.0,0.75,0.8703703703703703,387.72812151908875,
6.0,0.8823529411764706,0.003366531070276336,120.0,0.8571428571428572,0.9166666666666667,457.33115673065186,
7.0,0.8529411764705882,0.003366531070276336,120.0,0.8214285714285714,0.9,359.2341389656067,
8.0,0.8235294117647058,0.003366531070276336,120.0,0.7857142857142857,0.8846153846153846,476.9860577583313,
9.0,0.7941176470588235,0.003366531070276336,120.0,0.75,0.8703703703703703,360.07810068130493,
10.0,0.7352941176470589,0.003366531070276336,120.0,0.6785714285714286,0.8448275862068966,386.778582572937,
11.0,0.7352941176470589,0.003366531070276336,120.0,0.6892857142857143,0.7804232804232805,366.1302750110626,
12.0,0.7941176470588235,0.003366531070276336,120.0,0.75,0.8703703703703703,339.7255861759186,
13.0,0.7941176470588235,0.003366531070276336,120.0,0.75,0.8703703703703703,364.4061806201935,
14.0,0.8235294117647058,0.003366531070276336,120.0,0.7857142857142857,0.8846153846153846,346.02677392959595,
15.0,0.8823529411764706,0.003366531070276336,120.0,0.8571428571428572,0.9166666666666667,354.55792593955994,
16.0,0.8823529411764706,0.003366531070276336,120.0,0.8571428571428572,0.9166666666666667,378.5222797393799,
17.0,0.8823529411764706,0.003366531070276336,120.0,0.8571428571428572,0.9166666666666667,324.9448959827423,
18.0,0.9117647058823529,0.003366531070276336,120.0,0.8928571428571428,0.9347826086956521,308.56728076934814,
19.0,0.7941176470588235,0.003366531070276336,120.0,0.75,0.8703703703703703,379.1966757774353,
20.0,0.8823529411764706,0.003366531070276336,120.0,0.8571428571428572,0.9166666666666667,381.44808530807495,
21.0,0.7941176470588235,0.003366531070276336,120.0,0.75,0.8703703703703703,393.5374472141266,
22.0,0.8529411764705882,0.003366531070276336,120.0,0.8214285714285714,0.9,410.1498944759369,
23.0,0.8823529411764706,0.003366531070276336,120.0,0.8571428571428572,0.9166666666666667,345.36054587364197,
24.0,0.9411764705882353,0.003366531070276336,120.0,0.9285714285714286,0.9545454545454546,345.14375138282776,
25.0,0.8529411764705882,0.003366531070276336,120.0,0.8214285714285714,0.9,342.56364464759827,
26.0,0.7058823529411765,0.003366531070276336,120.0,0.6535714285714286,0.7559523809523809,341.99932074546814,
27.0,0.8235294117647058,0.003366531070276336,120.0,0.7857142857142857,0.8846153846153846,336.24895095825195,
28.0,0.7647058823529411,0.003366531070276336,120.0,0.7142857142857143,0.8571428571428572,320.2529921531677,
29.0,0.8529411764705882,0.003366531070276336,120.0,0.8214285714285714,0.9,318.53834104537964,
30.0,0.8235294117647058,0.003366531070276336,120.0,0.7857142857142857,0.8846153846153846,335.3025269508362,
Mean,0.8264705882352941,0.003366531070276335,120.0,0.7899999999999999,0.8835665012888899,363.3953599135081,0.011237026960278689
Std,0.05849298610685263,8.821895084505784e-19,0.0,0.06972979921066161,0.041127089861751016,41.80639172611053,
